id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,brand
SC-aesthetic-coloring-pages,Aesthetic Coloring Pages for Teens & Young Adults,"20 aesthetic scenes to color: matcha and a croissant, headphones and vinyl, a tote bag of tulips, a cozy desk setup, bubble tea, a film camera, a picnic blanket, a skincare shelf, a bed with fairy lights. Clean outlines, plenty of white space - color them your way. Grab the free samples below, or download the whole printable PDF bundle.",https://sunnycrayon.com/aesthetic-coloring-pages/,https://sunnycrayon.com/aesthetic-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-alphabet-coloring-pages,Alphabet Coloring Pages A to Z for Preschool,"26 alphabet coloring pages, one per letter: big uppercase and lowercase letters with three cute pictures that start with each sound (A is for apple, airplane and ant). Thick clean outlines for little hands. Classroom and homeschool use welcome. Grab the free samples below, or download the whole printable PDF bundle.",https://sunnycrayon.com/alphabet-coloring-pages/,https://sunnycrayon.com/alphabet-coloring-pages/hero.jpg,1.99 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-cute-animal-coloring-pages,Cute Animal Coloring Pages for Kids,"20 cute animal coloring pages for kids: a puppy, kitten, bunny, elephant, lion, panda, giraffe, sloth and more. Thick clean outlines that are easy for little hands. Grab the free samples below, or download the whole printable PDF bundle.",https://sunnycrayon.com/cute-animal-coloring-pages/,https://sunnycrayon.com/cute-animal-coloring-pages/hero.jpg,1.99 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-animal-coloring-pages,Bold & Easy Animal Coloring Pages for Seniors & Beginners,"20 large-print animals, one big friendly animal per page: cat, dog, rabbit, duck, cow, sheep, horse, owl, butterfly, elephant, bear, penguin. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and anyone who wants a simple, relaxing page.",https://sunnycrayon.com/bold-and-easy-animal-coloring-pages/,https://sunnycrayon.com/bold-and-easy-animal-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-christmas-coloring-pages,Bold & Easy Christmas Coloring Pages for Seniors & Beginners,"20 large-print Christmas pages, one big subject each: ornament, stocking, candy cane, wreath, ice skates, snow globe, reindeer, snowman, cardinal. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and anyone who wants a simple, relaxing holiday page.",https://sunnycrayon.com/bold-and-easy-christmas-coloring-pages/,https://sunnycrayon.com/bold-and-easy-christmas-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-boldeasy-digital,"20 Bold & Easy Digital Coloring Pages for iPad & Tablet - Transparent PNG, Large Print",,https://sunnycrayon.com/boldeasy-digital/,https://sunnycrayon.com/boldeasy-digital/hero.jpg,2.99 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-facility-pack,Bold & Easy Facility Pack - 40 Large Print Coloring Pages with a Print-Unlimited License,"40 bold and easy coloring pages (20 everyday subjects + 20 gentle Halloween pages) with a facility license: one activity room, unlimited copies, no expiry. Made for senior centers, assisted living, memory care, day programs, hospitals and daycares. Grab free samples below or get the whole pack with the license.",https://sunnycrayon.com/bold-and-easy-facility-pack/,https://sunnycrayon.com/bold-and-easy-facility-pack/hero.jpg,12.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-flower-coloring-pages,Bold & Easy Flower Coloring Pages for Seniors & Beginners,"20 large-print flowers, one big bloom per page: tulip, rose, daisy, lily, poppy, lotus, daffodil, cherry blossom, peony, iris. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and anyone who wants a simple, relaxing page.",https://sunnycrayon.com/bold-and-easy-flower-coloring-pages/,https://sunnycrayon.com/bold-and-easy-flower-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-fruit-coloring-pages,Bold & Easy Fruit & Vegetable Coloring Pages for Seniors & Beginners,"20 large-print fruit and vegetable pages, one big subject each: apple, pear, strawberry, grapes, watermelon, pineapple, carrot, pumpkin, a fruit basket, a pie. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and beginners.",https://sunnycrayon.com/bold-and-easy-fruit-coloring-pages/,https://sunnycrayon.com/bold-and-easy-fruit-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-ocean-coloring-pages,Bold & Easy Ocean Coloring Pages for Seniors & Beginners,"20 large-print sea life pages, one big subject each: whale, sea turtle, starfish, seahorse, crab, octopus, dolphin, lighthouse, sailboat. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and anyone who wants a simple, relaxing page.",https://sunnycrayon.com/bold-and-easy-ocean-coloring-pages/,https://sunnycrayon.com/bold-and-easy-ocean-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-thanksgiving-coloring-pages,Bold & Easy Thanksgiving Coloring Pages for Seniors & Beginners,"20 large-print fall and Thanksgiving pages, one big subject each: turkey, pumpkin, pie, corn, acorn, maple leaf, cornucopia, scarecrow, sunflower, cider mug. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and November craft hours.",https://sunnycrayon.com/bold-and-easy-thanksgiving-coloring-pages/,https://sunnycrayon.com/bold-and-easy-thanksgiving-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-coloring-pages,Bold and Easy Coloring Pages - Large Print for Adults & Seniors,"20 bold and easy coloring pages: one big, simple picture per page with thick lines and large open shapes. Made for seniors, memory care and activity rooms, low vision, and anyone who wants relaxing coloring without tiny details. Grab the free samples below, or download the whole printable PDF bundle.",https://sunnycrayon.com/bold-and-easy-coloring-pages/,https://sunnycrayon.com/bold-and-easy-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-bold-and-easy-winter-coloring-pages,Bold & Easy Winter Coloring Pages for Seniors & Beginners,"20 large-print winter pages, one big subject each: snowman, mitten, cocoa mug, snowflake, cardinal, sled, penguin, polar bear, fireplace. Extra thick lines and generous spaces for seniors, low-vision colorers, memory care and January craft hours.",https://sunnycrayon.com/bold-and-easy-winter-coloring-pages/,https://sunnycrayon.com/bold-and-easy-winter-coloring-pages/hero.jpg,2.49 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
SC-cars-trucks-coloring-pages,Cars & Trucks Coloring Pages for Kids,"20 vehicles kids ask for by name: fire truck, police car, dump truck, monster truck, school bus, excavator, ice cream truck, train, airplane and more. Thick easy outlines for ages 4-8. Grab the free samples below, or download the whole printable PDF bundle.",https://sunnycrayon.com/cars-trucks-coloring-pages/,https://sunnycrayon.com/cars-trucks-coloring-pages/hero.jpg,1.99 USD,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Coloring Pages,Sunny Crayon
